1927/1928,The Noose
1927/1928,The Last Command
1927/1928,A Ship Comes In
1927/1928,7th Heaven
1927/1928,Sadie Thompson
1927/1928,Sunrise
1927/1928,The Dove; Tempest
1927/1928,The Devil Dancer; The Magic Flame; Sadie Thompson
1927/1928,Two Arabian Knights
1927/1928,Speedy
1927/1928,Sorrell and Son
1927/1928,The Crowd
1927/1928,
1927/1928,Wings
1927/1928,The Racket
1927/1928,Chang
1927/1928,The Jazz Singer
1927/1928,Glorious Betsy
1927/1928,Underworld
1927/1928,The Private Life of Helen of Troy
1927/1928,The Circus
1928/1929,Thunderbolt
1928/1929,In Old Arizona
1928/1929,Alibi
1928/1929,The Valiant
1928/1929,The Patriot
1928/1929,Madame X
1928/1929,The Barker
1928/1929,The Letter
1928/1929,The Divine Lady
1928/1929,The Broadway Melody
1928/1929,Coquette
1928/1929,The Bridge of San Luis Rey
1928/1929,Dynamite
1928/1929,Alibi; and The Awakening
1928/1929,Street Angel
1928/1929,Our Dancing Daughters
1928/1929,White Shadows in the South Seas
1928/1929,Four Devils; and Street Angel
1928/1929,Drag; and Weary River
1928/1929,Hollywood Revue
1928/1929,In Old Arizona; and The Valiant
1928/1929,The Cop; The Leatherneck; Sal of Singapore; and Skyscraper
1928/1929,The Last of Mrs. Cheyney
1928/1929,A Woman of Affairs; and Wonder of Women
1929/1930,Disraeli
1929/1930,The Green Goddess
1929/1930,The Big House
1929/1930,The Big Pond
1929/1930,Bulldog Drummond
1929/1930,The Rogue Song
1929/1930,The Devil's Holiday
1929/1930,Sarah and Son
1929/1930,Anna Christie
1929/1930,The Divorcee
1929/1930,Their Own Desire
1929/1930,The Trespasser
1929/1930,(William Cameron Menzies)
1929/1930,Herman Rosse
1929/1930,(Hans Dreier)
1929/1930,(Jack Okey)
1929/1930,(Arthur Edeson)
1929/1930,(William Daniels)
1929/1930,"(Gaetano Gaudio), (Harry Perry)"
1929/1930,(Victor Milner)
1929/1930,"Joseph T. Rucker, Willard Van Der Veer"
1929/1930,Anna Christie; and Romance
1929/1930,The Love Parade
1929/1930,All Quiet on the Western Front
1929/1930,Hallelujah
1929/1930,Universal
1929/1930,Cosmopolitan
1929/1930,Warner Brothers
1929/1930,Metro-Goldwyn-Mayer
1929/1930,Paramount Famous Lasky
1929/1930,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
