1927/1928,Richard Barthelmess,The Noose
1927/1928,Emil Jannings,The Last Command
1927/1928,Louise Dresser,A Ship Comes In
1927/1928,Janet Gaynor,7th Heaven
1927/1928,Gloria Swanson,Sadie Thompson
1927/1928,Rochus Gliese,Sunrise
1927/1928,William Cameron Menzies,The Dove; Tempest
1927/1928,Harry Oliver,7th Heaven
1927/1928,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
1927/1928,Charles Rosher,Sunrise
1927/1928,Karl Struss,Sunrise
1927/1928,Lewis Milestone,Two Arabian Knights
1927/1928,Ted Wilde,Speedy
1927/1928,Frank Borzage,7th Heaven
1927/1928,Herbert Brenon,Sorrell and Son
1927/1928,King Vidor,The Crowd
1927/1928,Ralph Hammeras,
1927/1928,Roy Pomeroy,Wings
1927/1928,Nugent Slaughter,
1927/1928,The Caddo Company,The Racket
1927/1928,Fox,7th Heaven
1927/1928,Paramount Famous Lasky,Wings
1927/1928,Fox,Sunrise
1927/1928,Metro-Goldwyn-Mayer,The Crowd
1927/1928,Paramount Famous Lasky,Chang
1927/1928,Alfred Cohn,The Jazz Singer
1927/1928,Anthony Coldeway,Glorious Betsy
1927/1928,Benjamin Glazer,7th Heaven
1927/1928,Lajos Biro,The Last Command
1927/1928,Ben Hecht,Underworld
1927/1928,Gerald Duffy,The Private Life of Helen of Troy
1927/1928,Joseph Farnham,
1927/1928,"George Marion, Jr.",
1927/1928,Warner Brothers,The Jazz Singer
1927/1928,Charles Chaplin,The Circus
1928/1929,George Bancroft,Thunderbolt
1928/1929,Warner Baxter,In Old Arizona
1928/1929,Chester Morris,Alibi
1928/1929,Paul Muni,The Valiant
1928/1929,Lewis Stone,The Patriot
1928/1929,Ruth Chatterton,Madame X
1928/1929,Betty Compson,The Barker
1928/1929,Jeanne Eagels,The Letter
1928/1929,Corinne Griffith,The Divine Lady
1928/1929,Bessie Love,The Broadway Melody
1928/1929,Mary Pickford,Coquette
1928/1929,Hans Dreier,The Patriot
1928/1929,Cedric Gibbons,The Bridge of San Luis Rey
1928/1929,Mitchell Leisen,Dynamite
1928/1929,William Cameron Menzies,Alibi; and The Awakening
1928/1929,Harry Oliver,Street Angel
1928/1929,George Barnes,Our Dancing Daughters
1928/1929,Clyde De Vinna,White Shadows in the South Seas
1928/1929,Arthur Edeson,In Old Arizona
1928/1929,Ernest Palmer,Four Devils; and Street Angel
1928/1929,John Seitz,The Divine Lady
1928/1929,Lionel Barrymore,Madame X
1928/1929,Harry Beaumont,The Broadway Melody
1928/1929,Irving Cummings,In Old Arizona
1928/1929,Frank Lloyd,The Divine Lady
1928/1929,Frank Lloyd,Drag; and Weary River
1928/1929,Ernst Lubitsch,The Patriot
1928/1929,Feature Productions,Alibi
1928/1929,Fox,In Old Arizona
1928/1929,Metro-Goldwyn-Mayer,The Broadway Melody
1928/1929,Metro-Goldwyn-Mayer,Hollywood Revue
1928/1929,Paramount Famous Lasky,The Patriot
1928/1929,Tom Barry,In Old Arizona; and The Valiant
1928/1929,Elliott Clawson,The Cop; The Leatherneck; Sal of Singapore; and Skyscraper
1928/1929,Hans Kraly,The Last of Mrs. Cheyney
1928/1929,Hans Kraly,The Patriot
1928/1929,Josephine Lovett,Our Dancing Daughters
1928/1929,Bess Meredyth,A Woman of Affairs; and Wonder of Women
1929/1930,George Arliss,Disraeli
1929/1930,George Arliss,The Green Goddess
1929/1930,Wallace Beery,The Big House
1929/1930,Maurice Chevalier,The Big Pond
1929/1930,Ronald Colman,Bulldog Drummond
1929/1930,Lawrence Tibbett,The Rogue Song
1929/1930,Nancy Carroll,The Devil's Holiday
1929/1930,Ruth Chatterton,Sarah and Son
1929/1930,Greta Garbo,Anna Christie
1929/1930,Norma Shearer,The Divorcee
1929/1930,Norma Shearer,Their Own Desire
1929/1930,Gloria Swanson,The Trespasser
1929/1930,Bulldog Drummond ,(William Cameron Menzies)
1929/1930,King of Jazz ,Herman Rosse
1929/1930,The Love Parade ,(Hans Dreier)
1929/1930,Sally ,(Jack Okey)
1929/1930,The Vagabond King ,(Hans Dreier)
1929/1930,All Quiet on the Western Front ,(Arthur Edeson)
1929/1930,Anna Christie ,(William Daniels)
1929/1930,Hell's Angels ,"(Gaetano Gaudio), (Harry Perry)"
1929/1930,The Love Parade ,(Victor Milner)
1929/1930,With Byrd at the South Pole ,"Joseph T. Rucker, Willard Van Der Veer"
1929/1930,Clarence Brown,Anna Christie; and Romance
1929/1930,Robert Leonard,The Divorcee
1929/1930,Ernst Lubitsch,The Love Parade
1929/1930,Lewis Milestone,All Quiet on the Western Front
1929/1930,King Vidor,Hallelujah
1929/1930,All Quiet on the Western Front ,Universal
1929/1930,The Big House ,Cosmopolitan
1929/1930,Disraeli ,Warner Brothers
1929/1930,The Divorcee ,Metro-Goldwyn-Mayer
1929/1930,The Love Parade ,Paramount Famous Lasky
1929/1930,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929/1930,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
1929/1930,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
1929/1930,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
1929/1930,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
1929/1930,All Quiet on the Western Front ,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
1929/1930,The Big House ,Frances Marion
1929/1930,Disraeli ,(Julian Josephson)
1929/1930,The Divorcee ,(John Meehan)
1929/1930,Street of Chance ,(Howard Estabrook)
1930/1931,Lionel Barrymore,A Free Soul
1930/1931,Jackie Cooper,Skippy
1930/1931,Richard Dix,Cimarron
1930/1931,Fredric March,The Royal Family of Broadway
1930/1931,Adolphe Menjou,The Front Page
1930/1931,Marlene Dietrich,Morocco
1930/1931,Marie Dressler,Min and Bill
1930/1931,Irene Dunne,Cimarron
1930/1931,Ann Harding,Holiday
1930/1931,Norma Shearer,A Free Soul
1930/1931,Cimarron ,Max Rée
1930/1931,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
1930/1931,Morocco ,Hans Dreier
1930/1931,Svengali ,Anton Grot
1930/1931,Whoopee! ,Richard Day
1930/1931,Cimarron ,Edward Cronjager
1930/1931,Morocco ,Lee Garmes
1930/1931,The Right to Love ,Charles Lang
1930/1931,Svengali ,Barney Chick McGill
1930/1931,Tabu ,Floyd Crosby
1930/1931,Cimarron ,Wesley Ruggles
1930/1931,A Free Soul ,Clarence Brown
1930/1931,The Front Page ,Lewis Milestone
1930/1931,Morocco ,Josef Von Sternberg
1930/1931,Skippy ,Norman Taurog
1930/1931,Cimarron ,RKO Radio
1930/1931,East Lynne ,Fox
1930/1931,The Front Page ,The Caddo Company
1930/1931,Skippy ,Paramount Publix
1930/1931,Trader Horn ,Metro-Goldwyn-Mayer
1930/1931,Samuel Goldwyn - United Artists Studio Sound Department,
1930/1931,Metro-Goldwyn-Mayer Studio Sound Department,
1930/1931,Paramount Publix Studio Sound Department,
1930/1931,RKO Radio Studio Sound Department,
1930/1931,Cimarron ,Howard Estabrook
1930/1931,The Criminal Code ,"Seton I. Miller, Fred Niblo, Jr."
1930/1931,Holiday ,Horace Jackson
1930/1931,Little Caesar ,"Francis Faragoh, Robert N. Lee"
1930/1931,Skippy ,"Joseph L. Mankiewicz, Sam Mintz"
1930/1931,The Dawn Patrol ,John Monk Saunders
1930/1931,The Doorway to Hell ,Rowland Brown
1930/1931,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
1930/1931,The Public Enemy ,"John Bright, Kubec Glasmon"
1930/1931,Smart Money ,"Lucien Hubbard, Joseph Jackson"
1931/1932,Wallace Beery,The Champ
1931/1932,Alfred Lunt,The Guardsman
1931/1932,Fredric March,Dr. Jekyll and Mr. Hyde
1931/1932,Marie Dressler,Emma
1931/1932,Lynn Fontanne,The Guardsman
1931/1932,Helen Hayes,The Sin of Madelon Claudet
1931/1932,À Nous la Liberté ,Lazare Meerson
1931/1932,Arrowsmith ,Richard Day
1931/1932,Transatlantic ,Gordon Wiles
1931/1932,Arrowsmith ,Ray June
1931/1932,Dr. Jekyll and Mr. Hyde ,Karl Struss
1931/1932,Shanghai Express ,Lee Garmes
1931/1932,Bad Girl ,Frank Borzage
1931/1932,The Champ ,King Vidor
1931/1932,Shanghai Express ,Josef Von Sternberg
1931/1932,Arrowsmith ,Samuel Goldwyn Productions
1931/1932,Bad Girl ,Fox
1931/1932,The Champ ,Metro-Goldwyn-Mayer
1931/1932,Five Star Final ,First National
1931/1932,Grand Hotel ,Metro-Goldwyn-Mayer
1931/1932,One Hour with You ,Paramount Publix
1931/1932,Shanghai Express ,Paramount Publix
1931/1932,The Smiling Lieutenant ,Paramount Publix
1931/1932,Flowers and Trees ,"Walt Disney, Producer"
1931/1932,It's Got Me Again ,"Leon Schlesinger, Producer"
1931/1932,Mickey's Orphans ,"Walt Disney, Producer"
1931/1932,The Loud Mouth ,"Mack Sennett, Producer"
1931/1932,The Music Box ,"Hal Roach, Producer"
1931/1932,Scratch-As-Catch-Can ,RKO Radio
1931/1932,Stout Hearts and Willing Hands ,RKO Radio
1931/1932,Screen Souvenirs ,Paramount Publix
1931/1932,Swing High ,Metro-Goldwyn-Mayer
1931/1932,Wrestling Swordfish ,"Mack Sennett, Producer"
1931/1932,Metro-Goldwyn-Mayer Studio Sound Department,
1931/1932,Paramount Publix Studio Sound Department,
1931/1932,RKO Radio Studio Sound Department,
1931/1932,Warner Brothers-First National Studio Sound Department,
1931/1932,Arrowsmith ,Sidney Howard
1931/1932,Bad Girl ,Edwin Burke
1931/1932,Dr. Jekyll and Mr. Hyde ,"Percy Heath, Samuel Hoffenstein"
1931/1932,The Champ ,Frances Marion
1931/1932,Lady and Gent ,"Grover Jones, William Slavens McNutt"
1931/1932,The Star Witness ,Lucien Hubbard
1931/1932,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
1931/1932,Walt Disney,“Mickey Mouse”
1932/1933,Leslie Howard,Berkeley Square
1932/1933,Charles Laughton,The Private Life of Henry VIII
1932/1933,Paul Muni,I Am a Fugitive from a Chain Gang
1932/1933,Katharine Hepburn,Morning Glory
1932/1933,May Robson,Lady for a Day
1932/1933,Diana Wynyard,Cavalcade
1932/1933,Cavalcade ,William S. Darling
1932/1933,A Farewell to Arms ,"Hans Dreier, Roland Anderson [Second]"
1932/1933,When Ladies Meet ,Cedric Gibbons [Third]
1932/1933,Percy Ikerd (Fox),
1932/1933,William Tummel (Fox),
1932/1933,Charles Dorian (Metro-Goldwyn-Mayer),
1932/1933,Bunny Dull (Metro-Goldwyn-Mayer),
1932/1933,John S. Waters (Metro-Goldwyn-Mayer),
1932/1933,Charles Barton (Paramount),
1932/1933,Sidney S. Brod (Paramount),
1932/1933,Arthur Jacobson (Paramount),
1932/1933,Eddie Killey (RKO Radio),
1932/1933,Dewey Starkey (RKO Radio),
1932/1933,Fred Fox (United Artists),
1932/1933,Benjamin Silvey (United Artists),
1932/1933,Scott Beal (Universal),
1932/1933,Joe McDonough (Universal),
1932/1933,W. J. Reiter (Universal),
1932/1933,Al Alborn (Warner Brothers),
1932/1933,Gordon Hollingshead (Warner Brothers),
1932/1933,Frank X. Shaw (Warner Brothers),
1932/1933,A Farewell to Arms ,"Charles Bryant Lang, Jr."
1932/1933,Reunion in Vienna ,George J. Folsey [Second]
1932/1933,The Sign of the Cross ,Karl Struss [Third]
1932/1933,Cavalcade ,Frank Lloyd
1932/1933,Lady for a Day ,Frank Capra [Second]
1932/1933,Little Women ,George Cukor [Third]
1932/1933,Cavalcade ,Fox
